Sample_Date,Raw_Concentration,Post_Treatment_Conc,Receiving_Water_Conc,Infection_Risk_Median,Annual_Risk_Median,Annual_Risk_5th,Annual_Risk_95th,Population_Impact,Compliance_Status
1/7/2024,1992,1.992,0.01992,0.0006922119661516568,0.013753576419418878,0.005451259561542027,0.033239733919946494,137,NON-COMPLIANT
1/14/2024,1199,1.199,0.01199,0.0004181389453642437,0.008329642468152487,0.0032891819026442063,0.020308899975541448,83,NON-COMPLIANT
1/21/2024,2248,2.248,0.022480000000000003,0.0007802738655614538,0.015490339891090887,0.006146980738663244,0.03733262702895172,154,NON-COMPLIANT
1/28/2024,4529,4.529,0.04529,0.0015561342842400072,0.03066685799177654,0.012297970640634322,0.07215268803158084,306,NON-COMPLIANT
2/4/2024,1110,1.11,0.0111,0.00038725686148999294,0.007716709431116464,0.003045867173079625,0.01883328809793404,77,NON-COMPLIANT
2/11/2024,1110,1.11,0.0111,0.00038725686148999294,0.007716709431116464,0.003045867173079625,0.01883328809793404,77,NON-COMPLIANT
2/18/2024,4737,4.737,0.04737,0.001626109976772483,0.03202466322882458,0.012854611115932703,0.07518784195190115,320,NON-COMPLIANT
2/25/2024,2474,2.474,0.02474,0.000857848664798877,0.01701786853205517,0.006760262733362722,0.04091363434628918,170,NON-COMPLIANT
3/3/2024,920,0.92,0.0092,0.000321245696264294,0.006405343895707516,0.0025259837563049005,0.01566630685790834,64,NON-COMPLIANT
3/10/2024,2067,2.067,0.02067,0.0007180322549592,0.014263107477183345,0.005655197595445832,0.03444287430198753,142,NON-COMPLIANT
3/17/2024,924,0.924,0.00924,0.0003226365735127801,0.006432991776175512,0.0025369349562555155,0.015733217201955172,64,NON-COMPLIANT
3/24/2024,922,0.922,0.00922,0.00032194114117783945,0.006419168052319957,0.002531459390097668,0.01569976330917012,64,NON-COMPLIANT
3/31/2024,1625,1.625,0.01625,0.0005656139783331016,0.011251700712753776,0.0044519641746006144,0.02730337564699671,112,NON-COMPLIANT
4/7/2024,289,0.289,0.0028899999999999998,0.00010120243742423041,0.0020221039622611015,0.0007950377353188932,0.004981428127986059,20,NON-COMPLIANT
4/14/2024,336,0.336,0.00336,0.00011763581786722321,0.0023500889569113004,0.0009242001061377736,0.005786285357641307,23,NON-COMPLIANT
4/21/2024,854,0.854,0.008539999999999999,0.0002982889546251921,0.005948903813431494,0.0023452498916302026,0.014560806666081135,59,NON-COMPLIANT
4/28/2024,595,0.595,0.0059499999999999996,0.00020806847377308202,0.004153154162221451,0.0016352938801999174,0.01019542258857881,41,NON-COMPLIANT
5/5/2024,1722,1.722,0.01722,0.00059911504154464,0.011914346981628021,0.004716302712310472,0.028880348880485684,119,NON-COMPLIANT
5/12/2024,647,0.647,0.00647,0.00022619922997835218,0.004514276223530178,0.001777924504316636,0.011075358958274155,45,NON-COMPLIANT
5/19/2024,432,0.432,0.00432,0.00015118006695086228,0.003019262747106566,0.0011879044263238992,0.0074257064545938485,30,NON-COMPLIANT
5/26/2024,4326,4.326,0.04325999999999999,0.001487717529674415,0.029337553074737344,0.01175402949982074,0.0691687966815348,293,NON-COMPLIANT
6/2/2024,1118,1.118,0.01118,0.00039003379403401706,0.007771839401434888,0.003067743626552688,0.018966131912669756,77,NON-COMPLIANT
6/9/2024,1413,1.413,0.01413,0.0004922933640184035,0.009799955984409303,0.0038736843100442677,0.023836651215673646,97,NON-COMPLIANT
